state,statefp,placefp,placename,type,funcstat,county,city
WA,53,31540,Hogans Corner CDP,Census Designated Place,S,Grays Harbor County,Hogans Corner
WA,53,31985,Home CDP,Census Designated Place,S,Pierce County,Home
WA,53,32125,Hoodsport CDP,Census Designated Place,S,Mason County,Hoodsport
WA,53,32300,Hoquiam city,Incorporated Place,A,Grays Harbor County,Hoquiam
WA,53,32650,Humptulips CDP,Census Designated Place,S,Grays Harbor County,Humptulips
WA,53,32755,Hunts Point town,Incorporated Place,A,King County,Hunts Point
WA,53,33000,Ilwaco city,Incorporated Place,A,Pacific County,Ilwaco
WA,53,33105,Inchelium CDP,Census Designated Place,S,Ferry County,Inchelium
WA,53,33175,Index town,Incorporated Place,A,Snohomish County,Index
WA,53,33280,Indianola CDP,Census Designated Place,S,Kitsap County,Indianola
WA,53,33380,Inglewood-Finn Hill CDP,Census Designated Place,S,King County,Inglewood-Finn Hill
WA,53,33560,Ione town,Incorporated Place,A,Pend Oreille County,Ione
WA,53,33805,Issaquah city,Incorporated Place,A,King County,Issaquah
WA,53,33890,Jamestown CDP,Census Designated Place,S,Clallam County,Jamestown
WA,53,34470,Junction City CDP,Census Designated Place,S,Grays Harbor County,Junction City
WA,53,34575,Kahlotus city,Incorporated Place,A,Franklin County,Kahlotus
WA,53,34645,Kalama city,Incorporated Place,A,Cowlitz County,Kalama
WA,53,34890,Kapowsin CDP,Census Designated Place,S,Pierce County,Kapowsin
WA,53,34960,Keller CDP,Census Designated Place,S,Ferry County,Keller
WA,53,35065,Kelso city,Incorporated Place,A,Cowlitz County,Kelso
WA,53,35135,Kendall CDP,Census Designated Place,S,Whatcom County,Kendall
WA,53,35170,Kenmore city,Incorporated Place,A,King County,Kenmore
WA,53,35275,Kennewick city,Incorporated Place,A,Benton County,Kennewick
WA,53,35415,Kent city,Incorporated Place,A,King County,Kent
WA,53,35450,Ketron Island CDP,Census Designated Place,S,Pierce County,Ketron Island
WA,53,35485,Kettle Falls city,Incorporated Place,A,Stevens County,Kettle Falls
WA,53,35555,Key Center CDP,Census Designated Place,S,Pierce County,Key Center
WA,53,35625,Keyport CDP,Census Designated Place,S,Kitsap County,Keyport
WA,53,35835,Kingsgate CDP,Census Designated Place,S,King County,Kingsgate
WA,53,35870,Kingston CDP,Census Designated Place,S,Kitsap County,Kingston
WA,53,35940,Kirkland city,Incorporated Place,A,King County,Kirkland
WA,53,36045,Kittitas city,Incorporated Place,A,Kittitas County,Kittitas
WA,53,36100,Klahanie CDP,Census Designated Place,S,King County,Klahanie
WA,53,36115,Klickitat CDP,Census Designated Place,S,Klickitat County,Klickitat
WA,53,36395,Krupp town,Incorporated Place,A,Grant County,Krupp
WA,53,36710,La Center city,Incorporated Place,A,Clark County,La Center
WA,53,36745,Lacey city,Incorporated Place,A,Thurston County,Lacey
WA,53,36780,La Conner town,Incorporated Place,A,Skagit County,La Conner
WA,53,36850,LaCrosse town,Incorporated Place,A,Whitman County,LaCrosse
WA,53,36920,La Grande CDP,Census Designated Place,S,Pierce County,La Grande
WA,53,37077,Lake Bosworth CDP,Census Designated Place,S,Snohomish County,Lake Bosworth
WA,53,37100,Lake Cassidy CDP,Census Designated Place,S,Snohomish County,Lake Cassidy
WA,53,37105,Lake Cavanaugh CDP,Census Designated Place,S,Skagit County,Lake Cavanaugh
WA,53,37270,Lake Forest Park city,Incorporated Place,A,King County,Lake Forest Park
WA,53,37345,Lake Holm CDP,Census Designated Place,S,King County,Lake Holm
WA,53,37415,Lake Ketchum CDP,Census Designated Place,S,Snohomish County,Lake Ketchum
WA,53,37420,Lakeland North CDP,Census Designated Place,S,King County,Lakeland North
WA,53,37430,Lakeland South CDP,Census Designated Place,S,King County,Lakeland South
WA,53,37526,Lake McMurray CDP,Census Designated Place,S,Skagit County,Lake McMurray
WA,53,37538,Lake Marcel-Stillwater CDP,Census Designated Place,S,King County,Lake Marcel-Stillwater
WA,53,37567,Lake Morton-Berrydale CDP,Census Designated Place,S,King County,Lake Morton-Berrydale
WA,53,37672,Lake Roesiger CDP,Census Designated Place,S,Snohomish County,Lake Roesiger
WA,53,37830,Lake Shore CDP,Census Designated Place,S,Clark County,Lake Shore
WA,53,37900,Lake Stevens city,Incorporated Place,A,Snohomish County,Lake Stevens
WA,53,37917,Lake Stickney CDP,Census Designated Place,S,Snohomish County,Lake Stickney
WA,53,37920,Lake Tapps CDP,Census Designated Place,S,Pierce County,Lake Tapps
WA,53,37926,Lakeview CDP,Census Designated Place,S,Grant County,Lakeview
WA,53,38038,Lakewood city,Incorporated Place,A,Pierce County,Lakewood
WA,53,38215,Lamont town,Incorporated Place,A,Whitman County,Lamont
WA,53,38355,Langley city,Incorporated Place,A,Island County,Langley
WA,53,38420,Larch Way CDP,Census Designated Place,S,Snohomish County,Larch Way
WA,53,38495,Latah town,Incorporated Place,A,Spokane County,Latah
WA,53,38705,Laurier CDP,Census Designated Place,S,Ferry County,Laurier
WA,53,38845,Leavenworth city,Incorporated Place,A,Chelan County,Leavenworth
WA,53,38880,Lebam CDP,Census Designated Place,S,Pacific County,Lebam
WA,53,39212,Lewisville CDP,Census Designated Place,S,Clark County,Lewisville
WA,53,39335,Liberty Lake city,Incorporated Place,A,Spokane County,Liberty Lake
WA,53,39510,Lind town,Incorporated Place,A,Adams County,Lind
WA,53,39860,Lochsloy CDP,Census Designated Place,S,Snohomish County,Lochsloy
WA,53,39930,Lofall CDP,Census Designated Place,S,Kitsap County,Lofall
WA,53,40070,Long Beach city,Incorporated Place,A,Pacific County,Long Beach
WA,53,40105,Longbranch CDP,Census Designated Place,S,Pierce County,Longbranch
WA,53,40245,Longview city,Incorporated Place,A,Cowlitz County,Longview
WA,53,40270,Longview Heights CDP,Census Designated Place,S,Cowlitz County,Longview Heights
WA,53,40350,Loomis CDP,Census Designated Place,S,Okanogan County,Loomis
WA,53,40385,Loon Lake CDP,Census Designated Place,S,Stevens County,Loon Lake
WA,53,40570,Lower Elochoman CDP,Census Designated Place,S,Wahkiakum County,Lower Elochoman
WA,53,40735,Lyle CDP,Census Designated Place,S,Klickitat County,Lyle
WA,53,40770,Lyman town,Incorporated Place,A,Skagit County,Lyman
WA,53,40805,Lynden city,Incorporated Place,A,Whatcom County,Lynden
WA,53,40840,Lynnwood city,Incorporated Place,A,Snohomish County,Lynnwood
WA,53,40980,Mabton city,Incorporated Place,A,Yakima County,Mabton
WA,53,41155,McChord AFB CDP,Census Designated Place,S,Pierce County,McChord AFB
